tweet_id,sentence,label,city_id,city_name,continent,country,country_code,hemisphere,lat,lon,month,date,example_category,is_synthetic,original_split
DEMO_0475,The pilot light on the old heating boiler keeps going out in cold weather.,0,CITY_GBR_LEED_126,Leeds,Europe,United Kingdom,GBR,north,53.7974185,-1.5437941,2022-03,2022-03-01,negative_indoor_heating,1,test
DEMO_0042,This project is sizzling with potential. I cannot wait to see how it develops.,0,CITY_IND_ANUP_041,Anuppur,Asia,India,IND,north,22.9520798,81.630300700191,2022-03,2022-03-01,negative_metaphorical,1,train
DEMO_0375,Three weeks of this heat and my mental health is genuinely suffering.,1,CITY_ZAF_PORT_026,Port Elizabeth,Africa,South Africa,ZAF,south,-33.9618359,25.6186512,2022-03,2022-03-01,positive_psychological,1,train
DEMO_0118,Almost fainted at the bus stop. Someone gave me water. Heat is brutal today.,1,CITY_GBR_COVE_117,Coventry,Europe,United Kingdom,GBR,north,52.4081812,-1.510477,2022-03,2022-03-02,positive_physiological,1,train
DEMO_0257,Sluggish and fatigued all day because of the temperatures outside.,1,CITY_USA_MARI_256,Maricopa,North America,United States,USA,north,33.3062031,-111.841185,2022-03,2022-03-03,positive_psychological,1,train
DEMO_0452,New radiator installed in the living room. Finally warm indoors again.,0,CITY_ITA_MILA_103,Milano,Europe,Italy,ITA,north,45.4641943,9.1896346,2022-03,2022-03-06,negative_indoor_heating,1,test
DEMO_0464,Brain is completely fried from the heat. I cannot string two thoughts together.,1,CITY_GBR_CAMB_115,Cambridge,Europe,United Kingdom,GBR,north,52.2055314,0.1186637,2022-03,2022-03-07,positive_psychological,1,test
DEMO_0152,Gorgeous sunset tonight from my balcony. #heatwave #photography #golden,0,CITY_CAN_EDMO_151,Edmonton,North America,Canada,CAN,north,53.5462055,-113.491241,2022-03,2022-03-08,negative_spam_irrelevant,1,train
DEMO_0356,My concentration is shot. Every time I go near a window the heat reminds me.,1,CITY_NGA_ENUG_007,Enugu,Africa,Nigeria,NGA,north,6.5536094,7.4143061,2022-03,2022-03-09,positive_psychological,1,train
DEMO_0378,Air conditioning is on full blast. Cannot cope with this heat any other way.,1,CITY_ZAF_ROOD_029,Roodepoort,Africa,South Africa,ZAF,south,-26.1563889,27.8858333,2022-03,2022-03-09,positive_coping,1,train
DEMO_0556,I have started dreading mornings because of the heat that is already there at 7am.,1,CITY_USA_DENV_207,Denver,North America,United States,USA,north,39.7392364,-104.984862,2022-03,2022-03-10,positive_ambient_personal,1,test
DEMO_0097,The thermal management on this CPU cooler is impressive at full load.,0,CITY_DEU_POTS_096,Potsdam,Europe,Germany,DEU,north,52.4009309,13.0591397,2022-03,2022-03-10,negative_technical_scientific,1,train
DEMO_0424,The furnace heat distribution was uneven — rebalancing the ductwork fixed it.,0,CITY_MYS_PETA_075,Petaling Jaya,Asia,Malaysia,MYS,north,3.083333,101.583333,2022-03,2022-03-10,negative_technical_scientific,1,train
DEMO_0362,Collapsed briefly on the steps from the heat. Thankfully someone helped me.,1,CITY_NGA_KANO_013,Kano,Africa,Nigeria,NGA,north,11.8948389,8.5364136,2022-03,2022-03-11,positive_physiological,1,train
DEMO_0565,Animal rescue centres reported a surge in heat-stressed pets during the heatwave.,0,CITY_USA_FORT_216,Fort Lauderdale,North America,United States,USA,north,26.1223084,-80.1433786,2022-03,2022-03-11,boundary_negative_news_third_party,1,test
DEMO_0481,Global average temperatures rose by 1.5 degrees above pre-industrial levels.,0,CITY_GBR_NEWC_132,Newcastle upon Tyne,Europe,United Kingdom,GBR,north,54.9738474,-1.6131572,2022-03,2022-03-11,negative_policy_discourse,1,test
DEMO_0265,The heat outside is intense today. Feels like walking into an oven.,1,CITY_USA_MINN_264,Minneapolis,North America,United States,USA,north,44.9772995,-93.2654692,2022-03,2022-03-11,positive_ambient_personal,1,train
DEMO_0514,Cannot sleep again. Too hot to lie still even with the fan on all night.,1,CITY_USA_ALEX_165,Alexandria,North America,United States,USA,north,38.8051095,-77.0470229,2022-03,2022-03-12,positive_psychological,1,test
